SectionName,Material,Shape,t3,t2,tf,tw,Area,TorsConst,I33,I22,I23,AS2,AS3,S33,S22,Z33,Z22,R33,R22,ConcCol,ConcBeam,Color,TotalWt,TotalMass,FromFile,AMod,A2Mod,A3Mod,JMod,I2Mod,I3Mod,MMod,WMod,SectInFile,FileName,GUID,Notes
TUBO380X380X28,A992Fy50,Box/Tube,0.38,0.38,0.028,0.028,0.03942,0.001221,0.0008193,0.0008193,0,0.02128,0.02128,0.004312105,0.004312105,0.005215,0.005215,0.144166103,0.144166103,No,No,Yellow,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X380X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X360X30,A992Fy50,Box/Tube,0.36,0.36,0.03,0.03,0.0396,0.001078,0.0007247,0.0007247,0,0.0216,0.0216,0.004026111,0.004026111,0.004914,0.004914,0.135279362,0.135279362,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X360X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO340X238X40,A992Fy50,Box/Tube,0.34,0.238,0.04,0.04,0.03984,0.0005668,0.0005481,0.0002965,0,0.0272,0.01904,0.003224117,0.002491597,0.004208,0.003192,0.117292495,0.086268587,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO340X238X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X320X35,A992Fy50,Box/Tube,0.32,0.32,0.035,0.035,0.0399,0.0008102,0.0005483,0.0005483,0,0.0224,0.0224,0.003426875,0.003426875,0.004286,0.004286,0.11722566,0.11722566,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X320X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X266X35,A992Fy50,Box/Tube,0.38,0.266,0.035,0.035,0.04032,0.0007719,0.0007297,0.0004015,0,0.0266,0.01862,0.003840526,0.003018797,0.004894,0.003745,0.134527757,0.099788964,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X266X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO300X300X40,A992Fy50,Box/Tube,0.3,0.3,0.04,0.04,0.0416,0.000703,0.0004798,0.0004798,0,0.024,0.024,0.003198667,0.003198667,0.004088,0.004088,0.10739485,0.10739485,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO300X300X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X400X28,A992Fy50,Box/Tube,0.4,0.4,0.028,0.028,0.04166,0.001441,0.0009664,0.0009664,0,0.0224,0.0224,0.004832,0.004832,0.005823,0.005823,0.152306637,0.152306637,No,No,Red,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X400X28,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X380X30,A992Fy50,Box/Tube,0.38,0.38,0.03,0.03,0.042,0.001286,0.0008638,0.0008638,0,0.0228,0.0228,0.004546316,0.004546316,0.005526,0.005526,0.143410832,0.143410832,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X380X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X252X40,A992Fy50,Box/Tube,0.36,0.252,0.04,0.04,0.04256,0.0006921,0.0006651,0.0003614,0,0.0288,0.02016,0.003695,0.002868254,0.004794,0.003644,0.125009401,0.09214956,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X252X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO340X340X35,A992Fy50,Box/Tube,0.34,0.34,0.035,0.035,0.0427,0.000993,0.0006707,0.0006707,0,0.0238,0.0238,0.003945294,0.003945294,0.004905,0.004905,0.125328611,0.125328611,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO340X340X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X280X35,A992Fy50,Box/Tube,0.4,0.28,0.035,0.035,0.0427,0.0009177,0.0008644,0.0004771,0,0.028,0.0196,0.004322,0.003407857,0.005483,0.004202,0.142279864,0.105703841,No,No,Gray8Dark,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X280X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO400X400X30,A992Fy50,Box/Tube,0.4,0.4,0.03,0.03,0.0444,0.00152,0.00102,0.00102,0,0.024,0.024,0.0051,0.0051,0.006174,0.006174,0.151568377,0.151568377,No,No,Magenta,0,0,Yes,1,1,1,1,1,1,1,1,TUBO400X400X30,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO320X320X40,A992Fy50,Box/Tube,0.32,0.32,0.04,0.04,0.0448,0.0008781,0.0005973,0.0005973,0,0.0256,0.0256,0.003733125,0.003733125,0.004736,0.004736,0.115466829,0.115466829,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO320X320X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO380X266X40,A992Fy50,Box/Tube,0.38,0.266,0.04,0.04,0.04528,0.0008345,0.0007978,0.0004351,0,0.0304,0.02128,0.004198947,0.003271429,0.005418,0.004127,0.132737553,0.098026012,No,No,Green,0,0,Yes,1,1,1,1,1,1,1,1,TUBO380X266X40,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
TUBO360X360X35,A992Fy50,Box/Tube,0.36,0.36,0.035,0.035,0.0455,0.001201,0.0008103,0.0008103,0,0.0252,0.0252,0.004501667,0.004501667,0.005567,0.005567,0.133449586,0.133449586,No,No,Blue,0,0,Yes,1,1,1,1,1,1,1,1,TUBO360X360X35,c:\program files\computers and structures\sap2000 22\euro.pro,,Imported 7/31/2023 11:04:39 AM from Euro.pro
